StartingAddress	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
8658	1	04	s16	BOI.anforderung	485	Request	DHWC 1	system_ein_aus_t	0-Off, 1-On			read	read
8659	1	04	s16	BOI.anforderung	485	Request	DHWC 2	system_ein_aus_t	0-Off, 1-On			read	read
8660	1	04	s16	BOI.anforderung	485	Request	DHWC 3	system_ein_aus_t	0-Off, 1-On			read	read
8661	1	04	s16	BOI.anforderung	485	Request	DHWC 4	system_ein_aus_t	0-Off, 1-On			read	read
8662	1	04	s16	BOI.anforderung	485	Request	DHWC 5	system_ein_aus_t	0-Off, 1-On			read	read
8663	1	04	s16	BOI.anforderung	485	Request	DHWC 6	system_ein_aus_t	0-Off, 1-On			read	read
8664	1	04	s16	BOI.anforderung	485	Request	DHWC 7	system_ein_aus_t	0-Off, 1-On			read	read
8665	1	04	s16	BOI.anforderung	485	Request	DHWC 8	system_ein_aus_t	0-Off, 1-On			read	read
8666	1	04	s16	BOI.anforderung	485	Request	DHWC 9	system_ein_aus_t	0-Off, 1-On			read	read
8667	1	04	s16	BOI.anforderung	485	Request	DHWC 10	system_ein_aus_t	0-Off, 1-On			read	read
8668	1	04	s16	BOI.anforderung	485	Request	DHWC 11	system_ein_aus_t	0-Off, 1-On			read	read
8669	1	04	s16	BOI.anforderung	485	Request	DHWC 12	system_ein_aus_t	0-Off, 1-On			read	read
8670	1	04	s16	BOI.anforderung	485	Request	DHWC 13	system_ein_aus_t	0-Off, 1-On			read	read
8671	1	04	s16	BOI.anforderung	485	Request	DHWC 14	system_ein_aus_t	0-Off, 1-On			read	read
8675	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 1	1/10°C				read	read
8676	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 2	1/10°C				read	read
8677	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 3	1/10°C				read	read
8678	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 4	1/10°C				read	read
8679	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 5	1/10°C				read	read
